PROJ,PROJ Description
epsg:2840,NAD83(HARN) / Rhode Island
epsg:2841,NAD83(HARN) / South Dakota North
epsg:2842,NAD83(HARN) / South Dakota South
epsg:2843,NAD83(HARN) / Tennessee
epsg:2844,NAD83(HARN) / Texas North
epsg:2845,NAD83(HARN) / Texas North Central
epsg:2846,NAD83(HARN) / Texas Central
epsg:2847,NAD83(HARN) / Texas South Central
epsg:2848,NAD83(HARN) / Texas South
epsg:2849,NAD83(HARN) / Utah North
epsg:2850,NAD83(HARN) / Utah Central
epsg:2851,NAD83(HARN) / Utah South
epsg:2852,NAD83(HARN) / Vermont
epsg:2853,NAD83(HARN) / Virginia North
epsg:2854,NAD83(HARN) / Virginia South
epsg:2855,NAD83(HARN) / Washington North
epsg:2856,NAD83(HARN) / Washington South
epsg:2857,NAD83(HARN) / West Virginia North
epsg:2858,NAD83(HARN) / West Virginia South
epsg:2859,NAD83(HARN) / Wisconsin North
epsg:2860,NAD83(HARN) / Wisconsin Central
epsg:2861,NAD83(HARN) / Wisconsin South
epsg:2862,NAD83(HARN) / Wyoming East
epsg:2863,NAD83(HARN) / Wyoming East Central
epsg:2864,NAD83(HARN) / Wyoming West Central
epsg:2865,NAD83(HARN) / Wyoming West
epsg:2866,NAD83(HARN) / Puerto Rico and Virgin Is.
epsg:2867,NAD83(HARN) / Arizona East (ft)
epsg:2868,NAD83(HARN) / Arizona Central (ft)
epsg:2869,NAD83(HARN) / Arizona West (ft)
epsg:2870,NAD83(HARN) / California zone 1 (ftUS)
epsg:2871,NAD83(HARN) / California zone 2 (ftUS)
epsg:2872,NAD83(HARN) / California zone 3 (ftUS)
epsg:2873,NAD83(HARN) / California zone 4 (ftUS)
epsg:2874,NAD83(HARN) / California zone 5 (ftUS)
epsg:2875,NAD83(HARN) / California zone 6 (ftUS)
epsg:2876,NAD83(HARN) / Colorado North (ftUS)
epsg:2877,NAD83(HARN) / Colorado Central (ftUS)
epsg:2878,NAD83(HARN) / Colorado South (ftUS)
epsg:2879,NAD83(HARN) / Connecticut (ftUS)
epsg:2880,NAD83(HARN) / Delaware (ftUS)
epsg:2881,NAD83(HARN) / Florida East (ftUS)
epsg:2882,NAD83(HARN) / Florida West (ftUS)
epsg:2883,NAD83(HARN) / Florida North (ftUS)
epsg:2884,NAD83(HARN) / Georgia East (ftUS)
epsg:2885,NAD83(HARN) / Georgia West (ftUS)
epsg:2886,NAD83(HARN) / Idaho East (ftUS)
epsg:2887,NAD83(HARN) / Idaho Central (ftUS)
epsg:2888,NAD83(HARN) / Idaho West (ftUS)
epsg:2889,NAD83(HARN) / Indiana East (ftUS)
epsg:2890,NAD83(HARN) / Indiana West (ftUS)
epsg:2891,NAD83(HARN) / Kentucky North (ftUS)
epsg:2892,NAD83(HARN) / Kentucky South (ftUS)
epsg:2893,NAD83(HARN) / Maryland (ftUS)
epsg:2894,NAD83(HARN) / Massachusetts Mainland (ftUS)
epsg:2895,NAD83(HARN) / Massachusetts Island (ftUS)
epsg:2896,NAD83(HARN) / Michigan North (ft)
epsg:2897,NAD83(HARN) / Michigan Central (ft)
epsg:2898,NAD83(HARN) / Michigan South (ft)
epsg:2899,NAD83(HARN) / Mississippi East (ftUS)
epsg:2900,NAD83(HARN) / Mississippi West (ftUS)
epsg:2901,NAD83(HARN) / Montana (ft)
epsg:2902,NAD83(HARN) / New Mexico East (ftUS)
epsg:2903,NAD83(HARN) / New Mexico Central (ftUS)
epsg:2904,NAD83(HARN) / New Mexico West (ftUS)
epsg:2905,NAD83(HARN) / New York East (ftUS)
epsg:2906,NAD83(HARN) / New York Central (ftUS)
epsg:2907,NAD83(HARN) / New York West (ftUS)
epsg:2908,NAD83(HARN) / New York Long Island (ftUS)
epsg:2909,NAD83(HARN) / North Dakota North (ft)
epsg:2910,NAD83(HARN) / North Dakota South (ft)
